索引号,发布机构,发布日期,政策标题,政策正文链接
006939748/2023-00281,广东省人民政府,2023-06-28,广东省人民政府关于禁止在澳门珠海水资源保障工程（水库及连通工程）占地及淹没区新增建设项目和迁入人口的通告,http://www.gd.gov.cn/gkmlpt/content/4/4208/post_4208058.html
006939748/2023-00280,广东省人民政府,2023-06-28,广东省人民政府关于禁止在广东电白抽水蓄能电站工程占地及淹没区新增建设项目和迁入人口的通告,http://www.gd.gov.cn/gkmlpt/content/4/4208/post_4208037.html
006939748/2023-00279,广东省人民政府,2023-06-28,广东省人民政府关于禁止在鉴江干流治理工程占地范围新增建设项目和迁入人口的通告,http://www.gd.gov.cn/gkmlpt/content/4/4207/post_4207956.html
006939748/2023-00278,广东省人民政府办公厅,2023-06-28,广东省人民政府办公厅关于2023年第二季度全省政府网站与政务新媒体检查情况的通报,http://www.gd.gov.cn/gkmlpt/content/4/4207/post_4207888.html
006939748/2023-00276,广东省人民政府,2023-06-26,广东省人民政府关于进一步深化数字政府改革建设的实施意见,http://www.gd.gov.cn/gkmlpt/content/4/4206/post_4206700.html
006939748/2023-00269,广东省人民政府,2023-06-20,广东省人民政府关于禁止在珠江三角洲水资源配置工程东莞市配套供水项目（大溪水怀德水库扩建工程）占地及淹没区新增建设项目和迁入人口的通告,http://www.gd.gov.cn/gkmlpt/content/4/4204/post_4204713.html
006939748/2023-00263,广东省人民政府办公厅,2023-06-15,广东省人民政府办公厅关于印发广东省交通基础设施建设工程事故应急预案的通知,http://www.gd.gov.cn/gkmlpt/content/4/4199/post_4199084.html
006939748/2023-00256,广东省人民政府,2023-06-08,广东省人民政府关于公布第四批广东省历史文化街区名单的通知,http://www.gd.gov.cn/gkmlpt/content/4/4195/post_4195129.html
006939748/2023-00254,广东省人民政府,2023-06-07,广东省人民政府关于印发《广东省自然保护区建立和调整管理规定》的通知,http://www.gd.gov.cn/gkmlpt/content/4/4194/post_4194480.html
006939748/2023-00251,广东省人民政府,2023-06-06,广东省人民政府关于禁止在清远市英德市石门台水库工程占地及淹没区新增建设项目和迁入人口的通告,http://www.gd.gov.cn/gkmlpt/content/4/4192/post_4192641.html
006939748/2023-00238,广东省人民政府,2023-05-29,广东省人民政府关于复制推广中国（广东）自由贸易试验区第八批改革创新经验的通知,http://www.gd.gov.cn/gkmlpt/content/4/4188/post_4188411.html
006939748/2023-00232,广东省人民政府,2023-05-23,广东省事业单位公开招聘人员办法,http://www.gd.gov.cn/gkmlpt/content/4/4185/post_4185377.html
006939748/2023-00224,广东省人民政府办公厅,2023-05-22,广东省人民政府办公厅关于成立广东省扶贫志和全面小康志编纂委员会的通知,http://www.gd.gov.cn/gkmlpt/content/4/4184/post_4184530.html
006939748/2023-00216,广东省人民政府办公厅,2023-05-19,广东省人民政府办公厅印发关于加强科技伦理治理的实施方案的通知,http://www.gd.gov.cn/gkmlpt/content/4/4183/post_4183556.html
006939748/2023-00212,广东省人民政府,2023-05-18,广东省人民政府关于印发《广东省人民政府工作规则》的通知,http://www.gd.gov.cn/gkmlpt/content/4/4183/post_4183132.html
006939748/2023-00204,广东省人民政府,2023-05-15,广东省人民政府关于印发广东省省级财政专项资金管理办法（修订）的通知,http://www.gd.gov.cn/gkmlpt/content/4/4180/post_4180761.html
006939748/2023-00184,广东省人民政府办公厅,2023-05-01,广东省人民政府办公厅印发广东省关于香港机动车经港珠澳大桥珠海公路口岸入出内地管理办法的通知,http://www.gd.gov.cn/gkmlpt/content/4/4173/post_4173613.html
006939748/2023-00179,广东省人民政府办公厅,2023-04-27,广东省人民政府办公厅关于成立广东省第五次全国经济普查领导小组的通知,http://www.gd.gov.cn/gkmlpt/content/4/4172/post_4172181.html
